"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"779",6.9,0.22,0.37,15,0.053,59,178,0.9992,3.37,0.82,9.5,7
"240",6.2,0.25,0.21,15.55,0.039,28,159,0.9982,3.48,0.64,9.6,6
"4580",6,0.2,0.26,14.7,0.045,53,125,0.998365,2.99,0.69,9.4,6
"4851",7,0.36,0.35,2.5,0.048,67,161,0.99146,3.05,0.56,11.1,6
"2162",6.8,0.37,0.28,4,0.03,29,79,0.99,3.23,0.46,12.4,7
"2550",7.5,0.2,0.47,16.9,0.052,51,188,0.99944,3.09,0.62,9.3,5
"1331",8.3,0.21,0.41,2.2,0.05,24,108,0.994,2.85,0.45,9.5,5
"2649",6.6,0.23,0.29,14.45,0.057,29,144,0.99756,3.33,0.54,10.2,6
"2232",6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,6
"2630",5.8,0.6,0,1.3,0.044,72,197,0.99202,3.56,0.43,10.9,5
"3161",6.5,0.34,0.46,1,0.023,6,80,0.98865,3.15,0.54,12.9,6
"2200",6.6,0.25,0.42,11.3,0.049,77,231,0.9966,3.24,0.52,9.5,6
"1904",7.8,0.34,0.27,1.2,0.04,25,106,0.9932,3.01,0.55,10.4,5
"4489",6.7,0.48,0.49,2.9,0.03,28,122,0.98926,3.13,0.4,13,6
"1146",6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,5
"2190",7.1,0.18,0.32,12.2,0.048,36,125,0.9967,2.92,0.54,9.4,6
"3212",8.2,0.3,0.44,12.4,0.043,52,154,0.99452,3.04,0.33,12,6
"415",7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9,6
"623",5.3,0.32,0.12,6.6,0.043,22,141,0.9937,3.36,0.6,10.4,6
"332",6.8,0.24,0.34,4.6,0.032,37,135,0.9927,3.2,0.39,10.6,5
"2112",6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5
"4529",6.4,0.37,0.19,3.5,0.068,18,101,0.9934,3.03,0.38,9,6
"4845",4.8,0.29,0.23,1.1,0.044,38,180,0.98924,3.28,0.34,11.9,6
"1326",7.7,0.32,0.48,2.3,0.04,28,114,0.9911,3.2,0.52,12.8,7
"2855",6.4,0.21,0.28,5.9,0.047,29,101,0.99278,3.15,0.4,11,6
"572",6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6,7
"719",6.2,0.21,0.27,1.7,0.038,41,150,0.9933,3.49,0.71,10.5,7
"3770",6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,5
"3933",6.9,0.22,0.28,7.8,0.05,43,116,0.99326,3.22,0.6,11.5,8
"4822",7,0.24,0.47,1.3,0.043,18,131,0.99176,3.19,0.45,11,6
"4222",6.3,0.28,0.34,8.1,0.038,44,129,0.99248,3.26,0.29,12.1,6
"2446",6.6,0.34,0.34,2.6,0.051,40.5,210,0.99314,3.15,0.61,10,5
"1987",7.6,0.16,0.41,1.9,0.047,27,151,0.9937,3.2,0.53,10.1,6
"4214",6.5,0.38,0.53,1.4,0.142,5,69,0.9926,3.14,0.52,10.1,4
"721",6.6,0.29,0.44,9,0.053,62,178,0.99685,3.02,0.45,8.9,5
"2773",6.2,0.29,0.32,3.6,0.026,39,138,0.9892,3.31,0.37,13.1,7
"1931",9.2,0.27,0.34,10.5,0.043,49,228,0.9974,3.04,0.41,10.4,6
"442",6.1,0.38,0.2,6.6,0.033,25,137,0.9938,3.3,0.69,10.4,6
"1550",8.5,0.15,0.49,1.5,0.031,17,122,0.9932,3.03,0.4,10.3,6
"2840",5.8,0.22,0.29,0.9,0.034,34,89,0.98936,3.14,0.36,11.1,7
"3417",7.2,0.37,0.4,11.6,0.032,34,214,0.9963,3.1,0.51,9.8,6
"3991",7.3,0.23,0.41,14.6,0.048,73,223,0.99863,3.16,0.71,9.4,6
"1838",7.2,0.24,0.29,2.2,0.037,37,102,0.992,3.27,0.64,11,7
"665",7.1,0.17,0.38,7.4,0.052,49,182,0.9958,3.35,0.52,9.6,6
"1746",6.1,0.34,0.31,12,0.053,46,238,0.9977,3.16,0.48,8.6,5
"4519",9,0.2,0.33,3.5,0.049,10,40,0.9944,3.14,0.36,9.8,6
"1464",8.3,0.19,0.49,1.2,0.051,11,137,0.9918,3.06,0.46,11,6
"2092",7.2,0.24,0.19,7.7,0.045,53,176,0.9958,3.17,0.38,9.5,5
"1459",7.1,0.22,0.74,2.7,0.044,42,144,0.991,3.31,0.41,12.2,6
"3817",6.8,0.41,0.3,8.8,0.045,28,131,0.9953,3.12,0.59,9.9,5
"1489",6.5,0.26,0.74,13.3,0.044,68,224,0.9972,3.18,0.54,9.5,6
"436",6.9,0.2,0.37,6.2,0.027,24,97,0.992,3.38,0.49,12.2,7
"2651",7,0.34,0.39,6.9,0.066,43,162,0.99561,3.11,0.53,9.5,5
"2251",9.2,0.34,0.54,17.3,0.06,46,235,1.00182,3.08,0.61,8.8,6
"4521",5.8,0.31,0.31,7.5,0.052,55,230,0.9949,3.19,0.46,9.8,5
"1569",7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,6
"4860",6,0.43,0.34,7.6,0.045,25,118,0.99222,3.03,0.37,11,6
"3935",7.3,0.27,0.3,1.3,0.04,26,84,0.99222,3.28,0.53,10.7,6
"1130",7.9,0.25,0.29,5.3,0.031,33,117,0.9918,3.06,0.32,11.8,7
"2645",7.15,0.17,0.24,9.6,0.119,56,178,0.99578,3.15,0.44,10.2,6
"382",7.2,0.28,0.26,12.5,0.046,48,179,0.9975,3.1,0.52,9,6
"1585",6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,6
"1532",8.1,0.3,0.49,8.1,0.037,26,174,0.9943,3.1,0.3,11.2,7
"1088",7,0.24,0.32,1.3,0.037,39,123,0.992,3.17,0.42,11.2,8
"1295",6.9,0.41,0.22,4.2,0.031,10,102,0.993,3,0.86,11.6,4
"1406",6.3,0.39,0.24,6.9,0.069,9,117,0.9942,3.15,0.35,10.2,4
"88",6.8,0.25,0.31,13.3,0.05,69,202,0.9972,3.22,0.48,9.7,6
"4021",6.4,0.37,0.12,5.9,0.056,6,91,0.99536,3.06,0.46,8.4,4
"2826",6.3,0.25,0.22,3.3,0.048,41,161,0.99256,3.16,0.5,10.5,6
"3288",6.8,0.21,0.31,2.9,0.046,40,121,0.9913,3.07,0.65,10.9,7
"2353",6.1,0.28,0.16,1.3,0.06,36,126,0.99353,3.13,0.46,8.7,6
"4525",6.6,0.16,0.25,9.8,0.049,59.5,137,0.995,3.16,0.38,10,6
"1000",7.6,0.21,0.6,2.1,0.046,47,165,0.9936,3.05,0.54,10.1,7
"103",6,0.21,0.24,12.1,0.05,55,164,0.997,3.34,0.39,9.4,5
"287",6.5,0.28,0.33,15.7,0.053,51,190,0.9978,3.22,0.51,9.7,6
"2254",6.3,0.27,0.18,7.7,0.048,45,186,0.9962,3.23,0.47,9,5
"4826",6,0.34,0.29,6.1,0.046,29,134,0.99462,3.48,0.57,10.7,6
"4200",8.1,0.27,0.33,1.3,0.045,26,100,0.99066,2.98,0.44,12.4,6
"1224",8,0.28,0.42,7.1,0.045,41,169,0.9959,3.17,0.43,10.6,5
"2339",7.2,0.34,0.3,8.4,0.051,40,167,0.99756,3.48,0.62,9.7,5
"4308",6.5,0.22,0.27,1.6,0.039,36,116,0.99178,3.38,0.57,11,7
"2244",6.7,0.23,0.42,11.2,0.047,52,171,0.99758,3.54,0.74,10.4,5
"1686",7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,7
"1208",6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,5
"3126",7.4,0.23,0.38,8.6,0.052,41,150,0.99534,3.06,0.46,10.3,5
"4137",5.9,0.65,0.23,5,0.035,20,128,0.99016,3.46,0.48,12.8,6
"985",6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5
"3691",5.6,0.21,0.24,4.4,0.027,37,150,0.991,3.3,0.31,11.5,7
"260",5.8,0.36,0.38,0.9,0.037,3,75,0.9904,3.28,0.34,11.4,4
"2592",6.7,0.34,0.3,8.5,0.059,24,152,0.99615,3.46,0.64,11,7
"790",7.6,0.3,0.27,10.6,0.039,31,119,0.99815,3.27,0.3,9.3,6
"2785",7.1,0.2,0.31,7.4,0.053,32,211,0.99587,3.31,0.59,10.4,6
"685",8.1,0.46,0.31,1.7,0.052,50,183,0.9923,3.03,0.42,11.2,5
"635",6.1,0.17,0.28,4.5,0.033,46,150,0.9933,3.43,0.49,10.9,6
"3424",7.1,0.18,0.39,14.5,0.051,48,156,0.99947,3.35,0.78,9.1,5
"629",7,0.32,0.24,6.2,0.048,31,228,0.9957,3.23,0.62,9.4,6
"2802",6.8,0.26,0.44,8.2,0.046,52,183,0.99584,3.2,0.51,9.4,5
"3289",6.6,0.2,0.14,4.4,0.184,35,168,0.99396,2.93,0.45,9.4,6
"743",7,0.2,0.37,2,0.03,26,136,0.9932,3.28,0.61,10.2,6
"4207",5.9,0.32,0.2,14.4,0.05,29,144,0.99666,3.24,0.41,10.3,6
"162",6.4,0.22,0.56,14.5,0.055,27,159,0.998,2.98,0.4,9.1,5
"3016",7.2,0.32,0.3,8.25,0.02,14,104,0.99362,2.99,0.44,11.4,6
"2954",6,0.28,0.25,1.8,0.042,8,108,0.9929,3.08,0.55,9,5
"4738",6.1,0.24,0.32,9,0.031,41,134,0.99234,3.25,0.26,12.3,7
"432",6.4,0.34,0.1,1.1,0.048,19,84,0.9927,3.21,0.38,9.8,5
"3284",6.6,0.2,0.14,4.4,0.184,35,168,0.99396,2.93,0.45,9.4,6
"4871",6.1,0.32,0.28,6.6,0.021,29,132,0.99188,3.15,0.36,11.45,7
"3634",6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,6
"456",6.4,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6
"2722",8.2,0.37,0.64,13.9,0.043,22,171,0.99873,2.99,0.8,9.3,5
"2878",6.5,0.15,0.55,5.9,0.045,75,162,0.99482,2.97,0.4,9.3,5
"3094",7,0.25,0.45,2.3,0.045,40,118,0.99064,3.16,0.48,11.9,7
"2230",6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,6
"521",7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,5
"1582",9,0.3,0.49,7.2,0.039,32,84,0.9938,2.94,0.32,11.5,6
"3342",7.6,0.17,0.27,4.6,0.05,23,98,0.99422,3.08,0.47,9.5,6
"4885",6.5,0.33,0.38,8.3,0.048,68,174,0.99492,3.14,0.5,9.6,5
"3232",6.8,0.21,0.37,7,0.038,27,107,0.99206,2.98,0.82,11.5,6
"4370",6.4,0.29,0.21,9.65,0.041,36,119,0.99334,2.99,0.34,10.9333333333333,6
"2252",7.4,0.18,0.29,1.4,0.042,34,101,0.99384,3.54,0.6,10.5,7
"1629",8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,6
"2644",8.1,0.33,0.22,5.2,0.047,24,151,0.99527,3.22,0.47,10.3,5
"2966",5.5,0.34,0.26,2.2,0.021,31,119,0.98919,3.55,0.49,13,8
"1528",7.9,0.28,0.49,7.7,0.045,48,195,0.9954,3.04,0.55,11,6
"3719",6.6,0.26,0.22,18.15,0.05,23,139,0.99904,3.06,0.5,9.2,5
"147",5.6,0.16,0.27,1.4,0.044,53,168,0.9918,3.28,0.37,10.1,6
"1616",7.5,0.19,0.49,1.6,0.047,42,140,0.9932,3.4,0.47,10.7,6
"2481",6.8,0.32,0.3,1,0.049,22,113,0.99289,3.24,0.61,10.2,5
"769",6.7,0.11,0.34,8.8,0.043,41,113,0.9962,3.42,0.4,9.3,7
"1353",5.7,0.21,0.24,2.3,0.047,60,189,0.995,3.65,0.72,10.1,6
"2364",6.7,0.24,0.26,12.6,0.053,44,182,0.99802,3.42,0.42,9.7,5
"476",7,0.24,0.51,11,0.029,55,227,0.9965,3.03,0.61,9.5,5
"4007",5.4,0.15,0.32,2.5,0.037,10,51,0.98878,3.04,0.58,12.6,6
"4195",6.7,0.2,0.24,6.5,0.044,28,100,0.99348,3.12,0.33,10.2,6
"2153",7,0.22,0.33,2.1,0.052,15,76,0.993,3.2,0.41,10.6,6
"3978",6.9,0.27,0.25,7.5,0.03,18,117,0.99116,3.09,0.38,13,6
"536",7.9,0.345,0.51,15.3,0.047,54,171,0.9987,3.09,0.51,9.1,5
"579",6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6,7
"255",5.8,0.24,0.39,1.5,0.054,37,158,0.9932,3.21,0.52,9.3,6
"2021",7.7,0.26,0.34,6.4,0.05,36,163,0.9937,3.19,0.7,11.5,6
"2104",6,0.27,0.15,1.5,0.056,35,128,0.9936,3.12,0.45,8.8,5
"2287",6.6,0.41,0.24,4.9,0.158,47,144,0.99471,3.17,0.49,9.4,5
"604",6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8,5
"2914",7.7,0.18,0.3,1.2,0.046,49,199,0.99413,3.03,0.38,9.3,5
"1335",9,0.24,0.5,1.2,0.048,26,107,0.9918,3.21,0.34,12.4,6
"346",7.1,0.145,0.33,4.6,0.05,33,131,0.9942,3.28,0.4,9.6,6
"2475",6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,7
"3547",6.6,0.23,0.37,8.5,0.036,46,153,0.99576,3.2,0.48,9.4,6
"4040",6.1,1.1,0.16,4.4,0.033,8,109,0.99058,3.35,0.47,12.4,4
"4710",5.9,0.21,0.31,1.8,0.033,45,142,0.98984,3.35,0.5,12.7,6
"818",6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1,5
"873",6.3,0.26,0.21,4,0.03,24,125,0.9915,3.06,0.34,10.7,6
"194",6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6,5
"2483",6.2,0.26,0.37,7.1,0.047,54,201,0.99523,3.19,0.48,9.5,6
"2732",7.9,0.51,0.36,6.2,0.051,30,173,0.9984,3.09,0.53,9.7,5
"4832",5.8,0.38,0.26,1.1,0.058,20,140,0.99271,3.27,0.43,9.7,6
"2841",6.5,0.37,0.33,3.5,0.036,23,92,0.99136,3.18,0.38,11.2,6
"3728",5.7,0.265,0.28,6.9,0.036,46,150,0.99299,3.36,0.44,10.8,7
"368",6.9,0.33,0.21,1,0.053,39,148,0.9927,3.12,0.45,9.4,6
"3291",7.8,0.25,0.37,1,0.043,10,80,0.99128,3.08,0.38,11.4,5
"196",6.4,0.3,0.45,3.5,0.197,76,180,0.9942,3.02,0.39,9.1,6
"2726",6.9,0.23,0.32,16.4,0.045,62,153,0.9972,3.22,0.42,10.5,5
"3307",6,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8,7
"1497",6.7,0.62,0.24,1.1,0.039,6,62,0.9934,3.41,0.32,10.4,5
"1741",6.6,0.37,0.47,6.5,0.061,23,150,0.9954,3.14,0.45,9.6,6
"524",5.8,0.36,0.32,1.7,0.033,22,96,0.9898,3.03,0.38,11.2,6
"70",7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5
"978",6.5,0.14,0.33,7.6,0.05,53,189,0.9966,3.25,0.49,8.6,5
"509",5.9,0.62,0.28,3.5,0.039,55,152,0.9907,3.44,0.44,12,6
"307",7.2,0.43,0.24,6.7,0.058,40,163,0.995,3.2,0.41,9.9,5
"4369",6.5,0.3,0.28,11.45,0.041,29,109,0.99418,2.98,0.3,10.9,6
"923",7.7,0.32,0.62,10.6,0.036,56,153,0.9978,3.13,0.44,8.9,6
"2391",7,0.28,0.26,1.7,0.042,34,130,0.9925,3.43,0.5,10.7,8
"1755",6.4,0.16,0.28,2.2,0.042,33,93,0.9914,3.31,0.43,11.1,6
"929",6.5,0.25,0.35,12,0.055,47,179,0.998,3.58,0.47,10,5
"1551",7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,6
"610",7.4,0.37,0.35,5.7,0.061,12,94,0.9965,3.48,0.69,10.7,6
"4160",7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7
"3967",5.4,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,6
"760",7.1,0.13,0.4,1.2,0.047,54,134,0.9932,3.3,0.97,9.8,7
"3027",8.4,0.22,0.3,8.9,0.024,17,118,0.99456,2.99,0.34,10.5,6
"768",6.8,0.2,0.36,1.6,0.028,7,46,0.99175,3.21,0.6,10.9,6
"2737",6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,6
"2614",6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4,5
"3766",6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,5
"3412",6,0.14,0.17,5.6,0.036,37,127,0.99373,3.05,0.57,9.8,6
"1943",8.3,0.36,0.57,15,0.052,35,256,1.0001,2.93,0.64,8.6,5
"4663",7.3,0.17,0.36,8.2,0.028,44,111,0.99272,3.14,0.41,12.4,6
"3929",6.6,0.32,0.47,15.6,0.063,27,173,0.99872,3.18,0.56,9,5
"1681",7.6,0.32,0.34,18.35,0.054,44,197,1.0008,3.22,0.55,9,5
"116",5.5,0.485,0,1.5,0.065,8,103,0.994,3.63,0.4,9.7,4
"2608",8.9,0.26,0.33,8.1,0.024,47,202,0.99558,3.13,0.46,10.8,6
"3510",6.4,0.26,0.25,10.7,0.046,66,179,0.99606,3.17,0.55,9.9,6
"1619",6.4,0.37,0.49,13.3,0.045,53,243,0.9982,3.14,0.48,8.5,6
"12",8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7,5
"2548",6.2,0.33,0.14,4.8,0.052,27,128,0.99475,3.21,0.48,9.4,5
"2588",5.1,0.14,0.25,0.7,0.039,15,89,0.9919,3.22,0.43,9.2,6
"2009",7.2,0.15,0.39,1.8,0.043,21,159,0.9948,3.52,0.47,10,5
"4288",7.6,0.28,0.17,1.6,0.046,28,117,0.99288,3.08,0.43,10,5
"3874",7.6,0.37,0.51,11.7,0.094,58,181,0.99776,2.91,0.51,9,5
"2463",8.3,0.25,0.33,2.5,0.053,12,72,0.99404,2.89,0.48,9.5,5
"2141",7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,5
"4190",6.4,0.21,0.21,5.1,0.097,21,105,0.9939,3.07,0.46,9.6,5
"3268",5.8,0.23,0.2,2,0.043,39,154,0.99226,3.21,0.39,10.2,6
"4138",7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1,5
"4436",6.5,0.29,0.3,9.15,0.051,25,166,0.99339,3.24,0.56,11.3333333333333,6
"2000",7.3,0.18,0.31,17.3,0.055,32,197,1.0002,3.13,0.46,9,6
"3158",6.8,0.39,0.34,7.4,0.02,38,133,0.99212,3.18,0.44,12,7
"4205",6.9,0.26,0.38,10.5,0.044,33,139,0.99517,3.06,0.5,10.3,6
"1236",7.8,0.32,0.31,1.7,0.036,46,195,0.993,3.03,0.48,10.5,5
"1391",5.9,0.19,0.26,7.4,0.034,33,123,0.995,3.49,0.42,10.1,6
"4126",6.3,0.17,0.23,5.7,0.048,44,147,0.99382,3.08,0.54,10,5
"1421",9.2,0.28,0.49,11.8,0.042,29,137,0.998,3.1,0.34,10.1,4
"470",7.2,0.29,0.53,18.15,0.047,59,182,0.9992,3.09,0.52,9.6,5
"3104",7,0.25,0.45,2.3,0.045,40,118,0.99064,3.16,0.48,11.9,7
"3585",7.4,0.25,0.28,7.25,0.028,14,78,0.99238,2.94,0.37,11.5,7
"658",7.3,0.34,0.21,3.2,0.05,14,136,0.9936,3.25,0.44,10.2,5
"4264",7,0.55,0.05,8,0.036,19,164,0.99269,3.26,0.46,12.2,6
"1137",6,0.26,0.42,5.2,0.027,70,178,0.9914,3.4,0.4,12.3,8
"3112",6.5,0.23,0.39,1.9,0.036,41,98,0.99,3.19,0.43,11.9,7
"4717",5.5,0.315,0.38,2.6,0.033,10,69,0.9909,3.12,0.59,10.8,6
"1005",5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,6
"1195",6.2,0.37,0.22,8.3,0.025,36,216,0.9964,3.33,0.6,9.6,6
"3655",6.8,0.18,0.32,7.2,0.047,17,109,0.99498,3.42,0.44,10.4,6
"4769",6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,6
"3184",6.5,0.24,0.38,1,0.027,31,90,0.98926,3.24,0.36,12.3,6
"969",6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,7
"4429",6.9,0.44,0.27,5,0.038,33,166,0.99124,3.2,0.42,12.2,6
"473",6.6,0.24,0.29,2,0.023,19,86,0.99,3.25,0.45,12.5,6
"54",6.4,0.18,0.35,1,0.045,39,108,0.9911,3.31,0.35,10.9,6
"1056",8.6,0.26,0.41,2.2,0.049,29,111,0.9941,2.96,0.44,10,5
"2015",9,0.55,0.3,8.1,0.026,14,71,0.993,2.94,0.36,11.8,5
"206",6.4,0.21,0.5,11.6,0.042,45,153,0.9972,3.15,0.43,8.8,5
"4354",7.4,0.16,0.3,1.4,0.064,34,166,0.99136,3.11,0.42,11.4333333333333,6
"1871",6.3,0.19,0.21,1.8,0.049,35,163,0.9924,3.31,0.5,10.3,6
"574",7.2,0.2,0.34,2.7,0.032,49,151,0.99,3.16,0.39,12.7,7
"3174",6.7,0.33,0.34,7.5,0.036,39,124,0.99123,2.99,0.32,12.4,8
"634",6,0.29,0.2,12.6,0.045,45,187,0.9972,3.33,0.42,9.5,5
"919",7,0.24,0.34,1.4,0.031,27,107,0.99,3.06,0.39,11.9,6
"2970",6.7,0.2,0.3,1.4,0.025,17,76,0.99104,3.11,0.44,11,6
"4076",5.7,0.25,0.26,12.5,0.049,52.5,120,0.99691,3.08,0.45,9.4,6
"163",6.3,0.36,0.3,4.8,0.049,14,85,0.9932,3.28,0.39,10.6,5
"2923",6.5,0.44,0.47,5.45,0.014,44,137,0.98984,3.13,0.32,13,8
"558",6.1,0.41,0.24,1.6,0.049,16,137,0.993,3.32,0.5,10.4,6
"3774",5,0.61,0.12,1.3,0.009,65,100,0.9874,3.26,0.37,13.5,5
